127.0.0.1 - - [12/Mar/2022:21:24:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:24:53 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:24:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:28:58 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:28:58 +0530] "GET /web_app_5/image/'anujpic.jpg' HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:29:24 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:29:24 +0530] "GET /web_app_5/image/anujpic.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:29:26 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:29:26 +0530] "GET /web_app_5/image/anujpic.jpg HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:30:19 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:30:19 +0530] "GET /web_app_5/anujpic.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:37:53 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:37:53 +0530] "GET /web_app_5/anujpic.jpg HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:42:58 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:45:22 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:51:03 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:52:14 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:52:38 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:57:45 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:58:24 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [12/Mar/2022:21:59:17 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [12/Mar/2022:22:14:32 +0530] "GET /web_app_5/modifying.html HTTP/1.1" 200 231
